,id,created_at,updated_at,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,country,country_code,latitude,longitude,state,carbon_stream,programme_of_activities,sustainable_development_goals,poa_project_id,poa_project_sustaincert_id,poa_project_name,Goal 13: Climate Action,Goal 7: Affordable and Clean Energy,Goal 1: No Poverty,Goal 8: Decent Work and Economic Growth,Goal 3: Good Health and Well-Being,Goal 5: Gender Equality,Goal 6: Clean Water and Sanitation,Goal 15: Life On Land,Goal 12: Responsible Production and Consumption,VER_retired_credits,VER_issued_credits,CER_issued_credits
0,2747,2020-06-24 07:17:28+00:00,2022-08-03 13:18:49+00:00,GS10789 VPA1: Efficient and Clean Cooking for households in Somalia,The VPA deploys highly efficient improved cookstoves reducing woody biomass consumption for households in urban and peri-urban areas of Somalia. ,GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,339191,2019-10-02,2024-10-01,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Large Scale,10790,https://platform.sustain-cert.com/public-project/2139,Burn Manufacturing Co.,Somalia,SO,,,,VER,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",2746.0,10789.0,ECOA_BURN multi-country Clean Cooking Programme,True,True,True,True,True,,,,,44394.0,1062310.0,
1,2756,2020-07-03 13:18:29+00:00,2022-07-06 15:42:08+00:00,"GS1247 VPA 259 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10799,https://platform.sustain-cert.com/public-project/2148,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,1139.0,7593.0,
2,2757,2020-07-03 13:18:43+00:00,2022-07-06 15:42:36+00:00,"GS1247 VPA 260 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10800,https://platform.sustain-cert.com/public-project/2149,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,4405.0,7701.0,
3,2758,2020-07-03 13:18:51+00:00,2022-07-06 15:42:43+00:00,"GS1247 VPA 261 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10801,https://platform.sustain-cert.com/public-project/2150,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,1374.0,7376.0,
4,2759,2020-07-03 13:18:56+00:00,2022-07-06 15:42:48+00:00,"GS1247 VPA 262 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10802,https://platform.sustain-cert.com/public-project/2151,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,4372.0,7024.0,
5,2760,2020-07-03 13:19:00+00:00,2022-07-06 15:42:53+00:00,"GS1247 VPA 263 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10803,https://platform.sustain-cert.com/public-project/2152,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,3056.0,6711.0,
6,2761,2020-07-03 13:19:04+00:00,2022-07-06 15:42:57+00:00,"GS1247 VPA 264 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10804,https://platform.sustain-cert.com/public-project/2153,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,5010.0,7359.0,
7,2762,2020-07-03 13:19:11+00:00,2022-07-06 15:43:01+00:00,"GS1247 VPA 265 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes, Malawi","This Micro-Scale Voluntary Project Activity, in Dowa District, Malawi is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption v3.1. In this project CO2balance and United Purpose (formally Concern Universal) will provide safe drinking water to communities reducing the need to boil water as a means of purification through the repair of damaged and the drilling of additional new boreholes in the Traditional Authorities (TA) of Chiwere, Mponela and Mkukula located in Dowa District. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of greenhouse gas emissions from the combustion process.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2019-08-23,2024-08-22,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10805,https://platform.sustain-cert.com/public-project/2154,CO2balance UK ltd,Malawi,MW,,,,VER,VPA,"[{'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",155.0,1247.0,GS1247 Improved Kitchen Regimes Multi-Country PoA,True,,,,True,True,True,,,6068.0,6171.0,
8,2763,2020-07-07 13:53:34+00:00,2022-12-15 10:47:16+00:00,GS5658 VPA 25: Promoting energy efficiency & clean cooking in Pemba,"The micro-scale voluntary Project Activity (VPA) “Promoting energy efficiency & clean cooking in Pemba by Carbonsink” is developed by Italian ONG AVSI Foundation, with the financial support of Mozambique Rovuma Venture SPA and in collaboration with Carbonsink.

The project will distribute energy efficient cookstoves in the municipality of Pemba, Cabo Delgado Province, Mozambique. The distribution started in April 2020 and it is targeted to reach 3,600  efficient cookstoves sold in the area of Pemba. The efficient charcoal cookstove model distributed is locally produced “Mbaula B”. Later also other efficient charcoal stoves models might be introduced.

Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goals, the project is foreseen to provide several SDG benefits for the local families and communities.
",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2020-06-02,2025-06-01,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10806,https://platform.sustain-cert.com/public-project/2155,Carbonsink (Carbonsink Group S.r.l.),Mozambique,MZ,,,,VER,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}]",1019.0,5658.0,GS5658: PoA - Climate Finance for Sustainable Development,True,True,True,,True,,,True,True,,5550.0,
9,2764,2020-07-07 14:27:02+00:00,2022-12-15 11:18:17+00:00,GS5658 VPA 26: Promoting energy efficiency & clean cooking in Pemba,"The micro-scale voluntary Project Activity (VPA) “Promoting energy efficiency & clean cooking in Pemba by Carbonsink” is developed by Italian ONG AVSI Foundation, with the financial support of Mozambique Rovuma Venture SPA and in collaboration with Carbonsink.

The project will distribute energy efficient cookstoves in the municipality of Pemba, Cabo Delgado Province, Mozambique. The distribution is foreseen to start in September 2020 and it is targeted to reach 2,800  efficient cookstoves sold in the area of Pemba. The efficient charcoal cookstove model distributed is locally produced “Mbaula B”. Later also other efficient charcoal stoves models might be introduced.

Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goals, the project is foreseen to provide several SDG benefits for the local families and communities.
",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10000,2020-10-02,2025-10-01,GS TPDDTEC v3.1,Energy Efficiency - Domestic,Micro scale,10807,https://platform.sustain-cert.com/public-project/2156,Carbonsink (Carbonsink Group S.r.l.),Mozambique,MZ,,,,VER,VPA,"[{'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}]",1019.0,5658.0,GS5658: PoA - Climate Finance for Sustainable Development,True,True,True,,True,,,True,True,,2862.0,
